timestamp_coleta,trip_id,route_id,direction_id,start_time,start_date,vehicle_id,vehicle_label,stop_sequence,stop_id,arrival_delay,departure_delay
2026-04-21 07:55:09,3486702S307679P073600,808,1,07:36:00,20260421,10822,Estação São Gabriel,25,14792107,,216
2026-04-21 07:55:09,2964965S307679P073200,5035,0,07:32:00,20260421,40657,Hospitais Via Serrano,5,14787829,,1235
2026-04-21 07:55:09,2662247S307679P065500,5401,0,06:55:00,20260421,40644,Dom Cabral,38,14790064,,926
2026-04-21 07:55:09,2661937S307679P062800,4405,0,06:28:00,20260421,41277,Coqueiros,82,14788260,,1041
2026-04-21 07:55:09,2662209S307679P070500,4801A,0,07:05:00,20260421,41276,Boa Vista (Via Rua Iraci),41,14788144,,922
2026-04-21 07:55:09,2662088S307679P073000,9405,1,07:30:00,20260421,41271,Instituto Agronomico,23,14785816,,147
2026-04-21 07:55:09,2662204S307679P073600,503,0,07:36:00,20260421,41267,Santa Rosa,7,15140096,,771
2026-04-21 07:55:09,2662465S307679P073900,616,0,07:39:00,20260421,10992,Ceu Azul,21,14793286,,224
2026-04-21 07:55:09,2662531S307679P073200,626,0,07:32:00,20260421,10991,Esplendor (Principal),35,15328775,,71
2026-04-21 07:55:09,2662465S307679P071200,616,0,07:12:00,20260421,10994,Ceu Azul,40,14789622,,805
2026-04-21 07:55:09,9415  011080030740,9415,0,07:40:00,20260421,10995,Bonfim,8,14793331,,368
2026-04-21 07:55:09,4802A 012080660651,4802A,1,06:51:00,20260421,41241,Pindorama,74,14788045,,403
2026-04-21 07:55:09,2662352S307679P071500,9412,0,07:15:00,20260421,41243,Padre Eustaquio (Principal),36,14788833,,927
2026-04-21 07:55:09,9412  112080490720,9412,1,07:20:00,20260421,41248,Taquaril (Principal),29,14788548,,864
2026-04-21 07:55:09,2662164S307679P075200,63,0,07:52:00,20260421,30594,Estação Venda Nova,2,14787078,,0
2026-04-21 07:55:09,2662035S307679P073000,5203,1,07:30:00,20260421,41230,Castelo,32,14787341,,38
2026-04-21 07:55:09,9414  011080480740,9414,0,07:40:00,20260421,41224,João Pinheiro,19,14786653,,83
2026-04-21 07:55:09,2662465S307679P064500,616,0,06:45:00,20260421,10989,Ceu Azul,70,14784094,,1125
2026-04-21 07:55:09,3777801S307679P074000,301,0,07:40:00,20260421,30571,Estação Diamante (Rua da Olaria via Centro de Saúde Miramar),2,14788043,,819
2026-04-21 07:55:09,2662014S307679P070500,5106,1,07:05:00,20260421,41210,Bandeirantes,24,14787380,,633
2026-04-21 07:55:09,2662065S307679P073100,634,0,07:31:00,20260421,10951,Jardim Dos Comerciarios,31,14784172,,11
2026-04-21 07:55:09,2662246S307679P065500,5401,1,06:55:00,20260421,41206,São Luiz,57,14792926,,43
2026-04-21 07:55:09,2662014S307679P072500,5106,1,07:25:00,20260421,41204,Bandeirantes,15,14785893,,415
2026-04-21 07:55:09,2662246S307679P073500,5401,1,07:35:00,20260421,41207,São Luiz,15,14791239,,536
2026-04-21 07:55:09,2662048S307679P071900,707,0,07:19:00,20260421,11461,Estação São Gabriel,34,14784174,,516
2026-04-21 07:55:09,9404  011080390730,9404,0,07:30:00,20260421,11460,Nova Esperança,10,14792641,,1183
2026-04-21 07:55:09,3052  011080480738,3052,0,07:38:00,20260421,31072,Estação Diamante,7,14791385,,664
2026-04-21 07:55:09,4201  012080400730,4201,1,07:30:00,20260421,31071,Alto Caicara,29,14793209,,-159
2026-04-21 07:55:09,3052  011080480648,3052,0,06:48:00,20260421,31076,Estação Diamante,82,14791455,,-503
2026-04-21 07:55:09,3052  011080480658,3052,0,06:58:00,20260421,31075,Estação Diamante,68,14787935,,-308
2026-04-21 07:55:09,2662322S307679P075100,64,0,07:51:00,20260421,11469,Estação Venda Nova,2,14787078,,192
